Struct / class sizes determined by looking at ASM (CMwNod types)

CAudioBufferKeeper | addr:007A07E0 | minOffset:20 | maxOffset:60 | offsets:8 | size:UNKNOWN
CSceneToySeaHouleTable | addr:00828CE0 | minOffset:112 | maxOffset:124 | offsets:4 | size:168
CSceneToyStem | addr:00806050 | minOffset:108 | maxOffset:340 | offsets:20 | size:368
CSceneToySubway | addr:008120F0 | minOffset:120 | maxOffset:244 | offsets:8 | size:248
CSceneToyTrain | addr:00806A70 | minOffset:120 | maxOffset:232 | offsets:5 | size:252
CSceneTrafficGraph | addr:007F1840 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:44
CSceneTrafficPath | addr:007F0BE0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:60
CSceneVehicle | addr:007CCFB0 | minOffset:72 | maxOffset:732 | offsets:39 | size:UNKNOWN
CSceneVehicleBall | addr:0081A810 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:1248
CSceneVehicleBallTuning | addr:00826450 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CSceneVehicleCar | addr:007C3050 | minOffset:756 | maxOffset:2116 | offsets:11 | size:2168
CSceneVehicleCarTuning | addr:007F43B0 | minOffset:52 | maxOffset:896 | offsets:46 | size:940
CSceneVehicleEmitter | addr:008273C0 | minOffset:20 | maxOffset:136 | offsets:9 | size:196
CSceneVehicleEnvironment | addr:007FE240 | minOffset:20 | maxOffset:20 | offsets:1 | size:32
CSceneVehicleGlider | addr:00807C10 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:1064
CSceneVehicleGliderTuning | addr:00821830 | minOffset:52 | maxOffset:52 | offsets:1 | size:56
CSceneVehicleMaterial | addr:007FD830 | minOffset:36 | maxOffset:68 | offsets:2 | size:72
CSceneVehicleMaterialGroup | addr:00826EB0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CSceneVehicleSpeedBoat | addr:00814350 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:1264
CSceneVehicleSpeedBoatTuning | addr:00824F60 | minOffset:348 | maxOffset:348 | offsets:1 | size:352
CSceneVehicleStruct | addr:007F8BE0 | minOffset:68 | maxOffset:76 | offsets:3 | size:80
CSceneVehicleTuning | addr:00833B30 | minOffset:36 | maxOffset:36 | offsets:1 | size:UNKNOWN
CSceneVehicleTunings | addr:007FD5F0 | minOffset:32 | maxOffset:36 | offsets:2 | size:40
CSystemCmdAssert | addr:004390D0 | minOffset:32 | maxOffset:36 | offsets:2 | size:40
CSystemCmdDuplicateNod | addr:00439680 | minOffset:44 | maxOffset:44 | offsets:1 | size:48
CSystemCmdExec | addr:004393C0 | minOffset:32 | maxOffset:40 | offsets:3 | size:44
CSystemCmdLoadNod | addr:00439A30 | minOffset:44 | maxOffset:48 | offsets:2 | size:52
CSystemConfig | addr:00422E10 | minOffset:20 | maxOffset:412 | offsets:40 | size:464
CSystemConfigDisplay | addr:00437640 | minOffset:52 | maxOffset:212 | offsets:25 | size:216
CSystemData | addr:00A58600 | minOffset:20 | maxOffset:36 | offsets:5 | size:40
CSystemEngine | addr:0041F200 | minOffset:32 | maxOffset:108 | offsets:13 | size:112
CSystemFid | addr:00426530 | minOffset:20 | maxOffset:112 | offsets:8 | size:116
CSystemFidBuffer | addr:00438C00 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:32
CSystemFidFile | addr:0042B4A0 | minOffset:24 | maxOffset:132 | offsets:6 | size:136
CSystemFidMemory | addr:0042B020 | minOffset:24 | maxOffset:120 | offsets:4 | size:124
CSystemFids | addr:0042F510 | minOffset:20 | maxOffset:52 | offsets:3 | size:UNKNOWN
CSystemFidsDrive | addr:00431910 | minOffset:24 | maxOffset:24 | offsets:1 | size:72
CSystemFidsFolder | addr:0042AA20 | minOffset:56 | maxOffset:68 | offsets:4 | size:72
CSystemKeyboard | addr:0043A380 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:776
CSystemMouse | addr:0043A0F0 | minOffset:24 | maxOffset:96 | offsets:9 | size:100
CSystemNodWrapper | addr:00438FB0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:20
CSystemPackDesc | addr:00442850 | minOffset:48 | maxOffset:120 | offsets:19 | size:128
CSystemPackManager | addr:004406D0 | minOffset:32 | maxOffset:128 | offsets:20 | size:136
CSystemWindow | addr:00439F30 | minOffset:28 | maxOffset:144 | offsets:19 | size:148
CTrackMania | addr:0048C660 | minOffset:300 | maxOffset:1512 | offsets:30 | size:1516
CTrackManiaControlCard | addr:004524A0 | minOffset:368 | maxOffset:472 | offsets:5 | size:476
CTrackManiaControlCheckPointList | addr:00461950 | minOffset:364 | maxOffset:404 | offsets:8 | size:408
CTrackManiaControlMatchSettingsCard | addr:00444B80 | minOffset:504 | maxOffset:532 | offsets:8 | size:536
CTrackManiaControlPlayerInfoCard | addr:00456B90 | minOffset:476 | maxOffset:824 | offsets:43 | size:828
CTrackManiaControlPlayerInput | addr:004FE780 | minOffset:56 | maxOffset:60 | offsets:2 | size:64
CTrackManiaControlRaceScoreCard | addr:00450E70 | minOffset:540 | maxOffset:632 | offsets:24 | size:676
CTrackManiaControlScores | addr:0044AFA0 | minOffset:352 | maxOffset:472 | offsets:21 | size:488
CTrackManiaControlScores2 | addr:00448040 | minOffset:352 | maxOffset:548 | offsets:32 | size:552
CTrackManiaEditor | addr:004A1430 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:1304
CTrackManiaEditorCatalog | addr:00467CE0 | minOffset:56 | maxOffset:1300 | offsets:3 | size:1308
CTrackManiaEditorFree | addr:004775B0 | minOffset:56 | maxOffset:1304 | offsets:9 | size:1308
CTrackManiaEditorIcon | addr:00505FC0 | minOffset:20 | maxOffset:28 | offsets:3 | size:32
CTrackManiaEditorIconPage | addr:005033D0 | minOffset:40 | maxOffset:44 | offsets:2 | size:48
CTrackManiaEditorInterface | addr:004D5ED0 | minOffset:28 | maxOffset:140 | offsets:17 | size:144
CTrackManiaEditorPuzzle | addr:00471870 | minOffset:56 | maxOffset:56 | offsets:1 | size:1308
CTrackManiaEditorSimple | addr:00445500 | minOffset:56 | maxOffset:56 | offsets:1 | size:1308
CTrackManiaEditorTerrain | addr:00474A80 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:1356
CTrackManiaEnvironmentManager | addr:00501A40 | minOffset:36 | maxOffset:112 | offsets:13 | size:116
CTrackManiaMatchSettings | addr:004B0F70 | minOffset:52 | maxOffset:104 | offsets:3 | size:128
CTrackManiaMatchSettingsControlGrid | addr:00451820 | minOffset:448 | maxOffset:504 | offsets:12 | size:508
CTrackManiaMenus | addr:00470E70 | minOffset:316 | maxOffset:2900 | offsets:79 | size:2920
CTrackManiaNetForm | addr:00469450 | minOffset:32 | maxOffset:176 | offsets:7 | size:180
CTrackManiaNetwork | addr:004E3260 | minOffset:1632 | maxOffset:2128 | offsets:24 | size:UNKNOWN
CTrackManiaNetworkServerInfo | addr:004B06E0 | minOffset:600 | maxOffset:696 | offsets:4 | size:712
CTrackManiaPlayer | addr:004FEA00 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:76
CTrackManiaPlayerCameraSet | addr:004FF910 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:48
CTrackManiaPlayerInfo | addr:004AFA70 | minOffset:568 | maxOffset:844 | offsets:26 | size:952
CTrackManiaPlayerProfile | addr:0044DBC0 | minOffset:28 | maxOffset:1048 | offsets:28 | size:1064
CTrackManiaRace | addr:00481D70 | minOffset:72 | maxOffset:1344 | offsets:33 | size:1352
CTrackManiaRace1P | addr:004741F0 | minOffset:1352 | maxOffset:1372 | offsets:5 | size:1400
CTrackManiaRace1PGhosts | addr:00463560 | minOffset:1408 | maxOffset:1408 | offsets:1 | size:1416
CTrackManiaRace2PTurnBased | addr:00467700 | minOffset:1352 | maxOffset:1644 | offsets:8 | size:1664
CTrackManiaRaceAnalyzer | addr:004FE1D0 | minOffset:100 | maxOffset:136 | offsets:10 | size:140
CTrackManiaRaceInterface | addr:004C2540 | minOffset:64 | maxOffset:688 | offsets:21 | size:796
CTrackManiaRaceNet | addr:004B8900 | minOffset:1352 | maxOffset:1664 | offsets:16 | size:UNKNOWN
CTrackManiaRaceNetLaps | addr:00460960 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:1680
CTrackManiaRaceNetRounds | addr:0046A310 | minOffset:1672 | maxOffset:1672 | offsets:1 | size:1680
CTrackManiaRaceNetTimeAttack | addr:00463E50 | minOffset:240 | maxOffset:1672 | offsets:3 | size:1680
CTrackManiaRaceScore | addr:0044B4E0 | minOffset:84 | maxOffset:88 | offsets:2 | size:92
CTrackManiaReplayRecord | addr:004607C0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:76
CTrackManiaSwitcher | addr:00478E10 | minOffset:20 | maxOffset:104 | offsets:5 | size:UNKNOWN
CVisionResourceFile | addr:0095A340 | minOffset:20 | maxOffset:60 | offsets:10 | size:88
CVisionViewport | addr:00958C60 | minOffset:480 | maxOffset:2036 | offsets:24 | size:UNKNOWN
CVisionViewportDx9 | addr:0095E0C0 | minOffset:352 | maxOffset:5648 | offsets:60 | size:5656
CXmlAttribute | addr:00922650 | minOffset:20 | maxOffset:20 | offsets:1 | size:24
CXmlComment | addr:00922880 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:68
CXmlDeclaration | addr:00921F30 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:68
CXmlDocument | addr:00921800 | minOffset:68 | maxOffset:68 | offsets:1 | size:72
CXmlElement | addr:00921A40 | minOffset:68 | maxOffset:68 | offsets:1 | size:72
CXmlNod | addr:00922010 | minOffset:32 | maxOffset:64 | offsets:3 | size:68
CXmlText | addr:00921D30 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:68
CXmlUnknown | addr:009216B0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:68
GxFog | addr:00835E10 | minOffset:20 | maxOffset:24 | offsets:2 | size:64
GxFogBlender | addr:00836A30 | minOffset:20 | maxOffset:28 | offsets:3 | size:44
GxLight | addr:00835220 | minOffset:20 | maxOffset:20 | offsets:1 | size:92
GxLightAmbient | addr:008373A0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:100
GxLightBall | addr:008377F0 | minOffset:100 | maxOffset:100 | offsets:1 | size:144
GxLightDirectional | addr:00835C00 | minOffset:104 | maxOffset:104 | offsets:1 | size:156
GxLightFrustum | addr:008387D0 | minOffset:144 | maxOffset:144 | offsets:1 | size:236
GxLightPoint | addr:008393A0 | minOffset:-1 | maxOffset:-1 | offsets:0 | size:100
GxLightSpot | addr:00838FE0 | minOffset:144 | maxOffset:144 | offsets:1 | size:192
